"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"115","Decision influencer","Wisconsin",2024,3036,3846,0,3.98550724637681,26.3130525221009,0,0,0,0,3.98550724637681,26.3168421476859
"116","Farmer","Wisconsin",121,121,121,0,100,100,0,0,0,0,100,100.378090826446
"117","Decision influencer","Wisconsin",2429,2024,2024,3.33470564018114,9.9802371541502,9.9802371541502,0,0,0,0,0,0
"118","Decision influencer","Wisconsin",2834,3239,2024,17.1489061397318,49.9845631367706,100,0,25.0077184316147,100,0,18.7403519604816,1000.14402075099
"119","Farmer","Wisconsin",162,243,162,0,0,0,0,0,0,0,0,0
"120","Decision influencer","Wisconsin",8097,9312,9312,4.00148203038162,21.7353951890034,65.2169243986254,0,0,0,1.00037050759541,8.69845360824742,43.4770510738832
"121","Farmer","Wisconsin",304,304,304,0,0,0,0,0,0,0,0,0
"122","Farmer","Wisconsin",16,16,16,0,0,0,0,0,0,0,0,0
"123","Farmer","Wisconsin",30,53,53,0,0,100,0,0,0,0,0,99.3048659433962
"124","Farmer","Wisconsin",324,324,324,0,100,100,0,0,25,0,100,99.9650122530864
"125","Decision influencer","Wisconsin",1012,1417,1619,30.0395256916996,57.1630204657728,87.5231624459543,0,0,0,19.9604743083004,57.1630204657728,75.0200678814083
"126","Decision influencer","Wisconsin",2429,3644,3644,0,0,0,0,0,0,0,0,0
"127","Farmer","Wisconsin",83,86,75,19.2771084337349,89.5348837209302,100,0,0,0,19.2771084337349,0,99.86504724
"128","Decision influencer","Wisconsin",10121,10121,10121,0,47.9992095642723,60.0039521786385,0,4.00158087145539,60.0039521786385,0,4.00158087145539,60.002712123308
"129","Farmer","Wisconsin",324,324,324,0,0,0,0,0,0,0,0,0
"130","Decision influencer","Wisconsin",729,729,729,0,0,55.5555555555556,0,0,27.7091906721536,0,0,27.768058957476
"131","Farmer","Wisconsin",49,49,49,0,0,32.6530612244898,0,0,32.6530612244898,0,0,0
"132","Decision influencer","Wisconsin",1822,3563,10121,0,0,0,0,0,0,0,0,0
